sample_id	dataset	format	treatment	condition	timepoint_h	model	slide_id	physical_barcode	block_label	extract_key	counts_path	metadata_path	raw_input_path
sam0001	Mutter_01	rds	NT	Control	0	flank	sld0002	20250529_214712_S2	Block_3	Control	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_02_Mutter_01_CosMmR.RDS
sam0002	Mutter_01	rds	MBRT	MBRT_1h	1	flank	sld0004	20250529_214712_S4	Block_12	MBRT_1h	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_04_Mutter_01_CosMmR.RDS
sam0003	Mutter_01	rds	MBRT	MBRT_4h	4	flank	sld0004	20250529_214712_S4	Block_21	MBRT_4h	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_04_Mutter_01_CosMmR.RDS
sam0004	Mutter_01	rds	MBRT	MBRT_day2	48	flank	sld0001	20250529_214712_S1	Block_36	MBRT_day2	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_01_Mutter_01_CosMmR.RDS
sam0005	Mutter_01	rds	MBRT	MBRT_day6	144	flank	sld0001	20250529_214712_S1	Block_54	MBRT_day6	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_01_Mutter_01_CosMmR.RDS
sam0006	Mutter_01	rds	SBRT	SBRT_4h	4	flank	sld0004	20250529_214712_S4	Block_17	SBRT_4h	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_04_Mutter_01_CosMmR.RDS
sam0007	Mutter_01	rds	SBRT	SBRT_day2	48	flank	sld0002	20250529_214712_S2	Block_29	SBRT_day2	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_02_Mutter_01_CosMmR.RDS
sam0008	Mutter_01	rds	SBRT	SBRT_day6	144	flank	sld0002	20250529_214712_S2	Block_48	SBRT_day6	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_02_Mutter_01_CosMmR.RDS
sam0009	Mutter_01	rds	MBRT	Tongue_MBRT_day10	240	tongue	sld0003	20250529_214712_S3	TNG-1271	Tongue_MBRT_day10	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_03_Mutter_01_CosMmR.RDS
sam0010	Mutter_01	rds	MBRT	Tongue_MBRT_day8	192	tongue	sld0003	20250529_214712_S3	TNG-6082	Tongue_MBRT_day8	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_03_Mutter_01_CosMmR.RDS
sam0011	Mutter_01	rds	SBRT	Tongue_SBRT_day10	240	tongue	sld0003	20250529_214712_S3	NTB5696	Tongue_SBRT_day10	NA	/mnt/data/projects/spatial-rads/inputs/mutter01/Analysis_Mutter_01_CosMmR_Mutter_updated_metadata.parquet	/mnt/data/projects/spatial-rads/inputs/mutter01/seuratObject_03_Mutter_01_CosMmR.RDS
